home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Leeds,Arsenal,1,4,False,True,4.69,5.4,3.34,3.65,0.59,0.63,1639848600
Wolves,Chelsea,0,0,False,False,4.57,5.12,2.46,2.57,0.76,0.88,1639922400
Newcastle,Manchester City,0,4,False,True,19.59,24.0,8.54,10.0,0.13,0.15,1639922400
Tottenham,Liverpool,2,2,False,False,3.89,4.28,3.17,3.5,0.68,0.74,1639931400
West Ham,Southampton,2,3,False,True,0.95,1.01,2.65,2.83,2.98,3.17,1640530800
Tottenham,Crystal Palace,3,0,True,False,0.71,0.75,2.82,2.92,4.19,4.54,1640530800
Norwich,Arsenal,0,5,False,True,5.47,6.14,3.54,3.7,0.51,0.53,1640530800
Manchester City,Leicester,6,3,True,False,0.14,0.17,9.07,10.5,17.79,22.0,1640530800
Aston Villa,Chelsea,1,3,False,True,4.19,4.5,2.8,2.95,0.72,0.77,1640539800
Brighton,Brentford,2,0,True,False,0.94,0.99,2.42,2.52,3.39,3.7,1640548800
Newcastle,Manchester Utd,1,1,False,False,5.55,6.23,3.73,3.9,0.49,0.53,1640635200
Watford,West Ham,1,4,False,True,2.59,2.97,2.7,2.85,1.04,1.11,1640703600
Southampton,Tottenham,1,1,False,False,2.8,3.12,2.45,2.57,1.07,1.17,1640703600
Crystal Palace,Norwich,3,0,True,False,0.73,0.78,2.63,2.79,4.43,4.82,1640703600
Leicester,Liverpool,1,0,True,False,7.55,8.5,5.15,5.56,0.32,0.37,1640721600
Chelsea,Brighton,1,1,False,False,0.35,0.4,4.04,4.55,9.07,10.5,1640806200
Brentford,Manchester City,0,1,False,True,15.29,17.0,7.64,9.1,0.17,0.2,1640808900
Manchester Utd,Burnley,3,1,True,False,0.38,0.4,4.02,4.3,8.04,9.0,1640895300
Arsenal,Manchester City,1,2,False,True,4.28,4.5,3.22,3.45,0.64,0.68,1641040200
Watford,Tottenham,0,1,False,True,4.7,5.45,3.1,3.27,0.62,0.68,1641049200
Crystal Palace,West Ham,2,3,False,True,2.47,2.77,2.33,2.47,1.23,1.32,1641058200
Leeds,Burnley,3,1,True,False,1.04,1.12,2.59,2.92,2.71,2.9,1641132000
Everton,Brighton,2,3,False,True,1.89,2.0,2.1,2.16,1.71,1.98,1641132000
Brentford,Aston Villa,2,1,True,False,1.9,2.12,2.22,2.33,1.61,1.72,1641132000
Chelsea,Liverpool,2,2,False,False,1.64,1.74,2.48,2.59,1.7,1.88,1641141000
Manchester Utd,Wolves,0,1,False,True,0.68,0.74,2.76,2.9,4.69,5.28,1641231000
Southampton,Brentford,4,1,True,False,1.17,1.23,2.31,2.41,2.66,2.99,1641930300
West Ham,Norwich,2,0,True,False,0.4,0.45,4.03,4.25,7.08,8.7,1642016700
Brighton,Crystal Palace,1,1,False,False,1.03,1.1,2.39,2.62,2.97,3.2,1642190400
Manchester City,Chelsea,1,0,True,False,0.64,0.67,3.24,3.56,4.32,4.75,1642249800
Wolves,Southampton,3,1,True,False,1.42,1.57,2.08,2.18,2.35,2.62,1642258800
Norwich,Everton,2,1,True,False,2.46,2.59,2.33,2.48,1.23,1.28,1642258800
Newcastle,Watford,1,1,False,False,0.84,0.89,2.75,2.9,3.38,3.61,1642258800
Aston Villa,Manchester Utd,2,2,False,False,1.59,1.74,2.49,2.61,1.75,1.91,1642267800
West Ham,Leeds,2,3,False,True,0.67,0.72,3.22,3.63,3.92,4.2,1642341600
Liverpool,Brentford,3,0,True,False,0.27,0.3,5.24,5.79,10.54,12.6,1642341600
Brighton,Chelsea,1,1,False,False,4.52,5.15,2.76,2.95,0.69,0.73,1642536000
Leicester,Tottenham,2,3,False,True,2.25,2.45,2.46,2.58,1.27,1.31,1642620600
Brentford,Manchester Utd,1,3,False,True,3.59,3.91,2.7,2.91,0.83,0.87,1642622400
Watford,Norwich,0,3,False,True,1.04,1.08,2.52,2.6,2.81,2.95,1642795200
Everton,Aston Villa,0,1,False,True,1.79,2.0,2.42,2.75,1.6,1.76,1642854600
Manchester Utd,West Ham,1,0,True,False,1.09,1.21,2.64,2.75,2.56,2.88,1642863600
Leeds,Newcastle,0,1,False,True,0.9,0.95,2.92,3.3,2.92,3.2,1642863600
Brentford,Wolves,1,2,False,True,1.47,1.6,2.08,2.43,2.26,2.33,1642863600
Southampton,Manchester City,1,1,False,False,10.05,11.25,4.95,5.82,0.29,0.33,1642872600
Leicester,Brighton,1,1,False,False,1.58,1.71,2.42,2.52,1.79,2.08,1642946400
Crystal Palace,Liverpool,1,3,False,True,4.85,5.45,3.15,3.31,0.59,0.72,1642946400
Arsenal,Burnley,0,0,False,False,0.31,0.33,4.48,4.8,10.14,11.3,1642946400
Chelsea,Tottenham,2,0,True,False,0.73,0.79,2.81,2.95,4.07,4.35,1642955400
Burnley,Watford,0,0,False,False,1.19,1.23,2.25,2.35,2.63,2.78,1644084000
West Ham,Watford,1,0,True,False,0.54,0.57,3.28,3.63,5.41,6.03,1644349500
Newcastle,Everton,3,1,True,False,1.51,1.61,2.35,2.65,1.92,2.1,1644349500
Burnley,Manchester Utd,1,1,False,False,5.24,5.8,3.2,3.45,0.57,0.64,1644350400
Tottenham,Southampton,2,3,False,True,0.58,0.61,3.22,3.35,4.99,5.5,1644435900
