home-name,away-name,home-result,away-result,home-win,away-win,home-odds-avg,home-odds-max,draw-odds-avg,draw-odds-max,away-odds-avg,away-odds-max,date-start-timestamp
Arsenal,Manchester Utd,0,0,False,False,2.53,2.79,2.55,2.7,1.12,1.19,1612027800
Southampton,Aston Villa,0,1,False,True,2.26,2.49,2.7,2.85,1.18,1.28,1612036800
Chelsea,Burnley,2,0,True,False,0.33,0.36,4.28,4.77,9.36,10.1,1612094400
Leicester,Leeds,1,3,False,True,0.84,0.92,2.86,2.98,3.22,3.59,1612101600
West Ham,Liverpool,1,3,False,True,2.5,2.8,2.75,2.95,1.06,1.14,1612110600
Brighton,Tottenham,1,0,True,False,2.28,2.62,2.37,2.58,1.29,1.44,1612120500
Wolves,Arsenal,2,1,True,False,2.65,2.92,2.29,2.46,1.17,1.25,1612288800
Sheffield Utd,West Brom,2,1,True,False,1.11,1.2,2.39,2.59,2.72,2.9,1612288800
Newcastle,Crystal Palace,1,2,False,True,1.93,2.02,2.29,2.45,1.54,1.6,1612296900
Manchester Utd,Southampton,9,0,True,False,0.45,0.48,3.85,4.15,6.03,7.0,1612296900
Fulham,Leicester,0,2,False,True,2.81,3.19,2.37,2.52,1.07,1.14,1612375200
Burnley,Manchester City,0,2,False,True,14.77,16.18,5.93,6.89,0.21,0.22,1612375200
Leeds,Everton,1,2,False,True,1.59,1.69,2.49,2.6,1.74,1.85,1612380600
Liverpool,Brighton,0,1,False,True,0.49,0.52,3.61,3.86,5.64,6.07,1612383300
Aston Villa,West Ham,1,3,False,True,1.34,1.48,2.45,2.57,2.11,2.25,1612383300
Tottenham,Chelsea,0,1,False,True,3.03,3.2,2.49,2.64,0.99,1.05,1612468800
Aston Villa,Arsenal,1,0,True,False,1.97,2.1,2.49,2.58,1.41,1.45,1612614600
Newcastle,Southampton,3,2,True,False,2.33,2.44,2.46,2.64,1.23,1.29,1612623600
Burnley,Brighton,1,1,False,False,2.69,2.92,2.18,2.28,1.21,1.27,1612623600
Fulham,West Ham,0,0,False,False,3.14,3.37,2.68,2.84,0.9,0.98,1612632600
Manchester Utd,Everton,3,3,False,False,0.62,0.67,3.18,3.3,4.57,5.2,1612641600
Tottenham,West Brom,2,0,True,False,0.38,0.41,3.98,4.11,7.58,8.54,1612699200
Wolves,Leicester,0,0,False,False,2.36,2.52,2.26,2.38,1.31,1.38,1612706400
Liverpool,Manchester City,1,4,False,True,2.19,2.45,2.61,2.76,1.24,1.35,1612715400
Sheffield Utd,Chelsea,1,2,False,True,6.14,6.95,3.33,3.47,0.5,0.54,1612725300
Leeds,Crystal Palace,2,0,True,False,0.81,0.85,2.74,3.17,3.35,4.13,1612814400
Leicester,Liverpool,3,1,True,False,2.78,3.03,2.85,3.02,0.96,1.05,1613219400
Crystal Palace,Burnley,0,3,False,True,1.83,1.91,2.14,2.25,1.74,2.1,1613228400
Manchester City,Tottenham,3,0,True,False,0.34,0.39,4.74,5.31,7.56,8.05,1613237400
Brighton,Aston Villa,0,0,False,False,1.92,2.14,2.36,2.45,1.51,1.61,1613246400
Southampton,Wolves,1,2,False,True,1.27,1.68,2.28,2.5,2.47,2.62,1613304000
West Brom,Manchester Utd,1,1,False,False,8.7,9.5,4.89,5.1,0.31,0.33,1613311200
Arsenal,Leeds,4,2,True,False,0.81,0.85,2.84,3.1,3.16,3.74,1613320200
Everton,Fulham,0,2,False,True,1.02,1.07,2.39,2.5,3.0,3.32,1613329200
West Ham,Sheffield Utd,3,0,True,False,1.03,1.07,2.29,2.4,3.13,3.4,1613412000
Chelsea,Newcastle,2,0,True,False,0.29,0.33,4.86,5.11,9.67,11.8,1613419200
Burnley,Fulham,1,1,False,False,1.95,2.05,2.17,2.47,1.6,1.67,1613584800
Everton,Manchester City,1,3,False,True,10.12,11.07,4.83,5.18,0.29,0.31,1613592900
Wolves,Leeds,1,0,True,False,1.3,1.39,2.37,2.47,2.24,2.36,1613764800
Southampton,Chelsea,1,1,False,False,3.77,4.04,2.79,2.97,0.77,0.85,1613824200
Burnley,West Brom,0,0,False,False,1.15,1.19,2.28,2.36,2.71,2.87,1613833200
Liverpool,Everton,0,2,False,True,0.38,0.41,4.32,4.65,6.96,8.0,1613842200
Fulham,Sheffield Utd,1,0,True,False,0.97,1.07,2.37,2.43,3.25,3.5,1613851200
West Ham,Tottenham,2,1,True,False,2.03,2.19,2.43,2.58,1.4,1.48,1613908800
Aston Villa,Leicester,1,2,False,True,2.74,3.16,2.67,2.78,1.0,1.06,1613916300
Arsenal,Manchester City,0,1,False,True,5.95,6.22,3.59,3.95,0.48,0.52,1613925000
Manchester Utd,Newcastle,3,1,True,False,0.34,0.38,4.4,4.6,8.55,10.1,1613934000
Brighton,Crystal Palace,1,2,False,True,0.76,0.81,2.49,2.59,4.38,4.82,1614024000
Leeds,Southampton,3,0,True,False,1.16,1.22,2.64,3.01,2.33,2.46,1614103200
Manchester City,West Ham,2,1,True,False,0.27,0.3,5.39,5.58,10.44,12.0,1614429000
West Brom,Brighton,1,0,True,False,3.57,3.72,2.55,2.7,0.85,0.89,1614438000
Leeds,Aston Villa,0,1,False,True,1.03,1.06,2.8,2.95,2.54,2.72,1614447000
Newcastle,Wolves,1,1,False,False,2.69,2.94,2.14,2.25,1.23,1.33,1614456000
Leicester,Arsenal,1,3,False,True,1.37,1.58,2.35,2.6,2.17,2.36,1614513600
Crystal Palace,Fulham,0,0,False,False,2.52,2.6,2.23,2.3,1.24,1.32,1614513600
Tottenham,Burnley,4,0,True,False,0.5,0.52,3.29,3.43,6.28,7.24,1614520800
Chelsea,Manchester Utd,0,0,False,False,1.36,1.43,2.36,2.69,2.18,2.38,1614529800
Sheffield Utd,Liverpool,0,2,False,True,7.12,7.82,4.33,4.75,0.37,0.4,1614539700
Everton,Southampton,1,0,True,False,1.13,1.2,2.49,2.6,2.53,2.79,1614628800
Manchester City,Wolves,4,1,True,False,0.22,0.25,5.54,6.0,13.84,15.0,1614715200
Sheffield Utd,Aston Villa,1,0,True,False,2.63,2.95,2.42,2.57,1.13,1.23,1614794400
Burnley,Leicester,1,1,False,False,2.91,3.36,2.15,2.27,1.15,1.25,1614794400
Crystal Palace,Manchester Utd,0,0,False,False,6.6,7.0,3.69,3.88,0.44,0.47,1614802500
West Brom,Everton,0,1,False,True,3.02,3.33,2.51,2.6,0.98,1.05,1614880800
Fulham,Tottenham,0,1,False,True,2.95,3.23,2.49,2.65,1.01,1.11,1614880800
Liverpool,Chelsea,0,1,False,True,1.2,1.28,2.5,2.62,2.35,2.55,1614888900
Burnley,Arsenal,1,1,False,False,3.96,4.47,2.65,2.84,0.78,0.81,1615033800
Sheffield Utd,Southampton,0,2,False,True,2.8,3.29,2.38,2.55,1.09,1.19,1615042800
Aston Villa,Wolves,0,0,False,False,1.61,1.72,2.15,2.47,1.93,2.04,1615051800
Brighton,Leicester,1,2,False,True,1.55,1.68,2.19,2.27,2.03,2.15,1615060800
West Brom,Newcastle,0,0,False,False,1.34,1.43,2.21,2.3,2.35,2.48,1615118400
Liverpool,Fulham,0,1,False,True,0.62,0.67,3.03,3.25,4.79,5.17,1615125600
Manchester City,Manchester Utd,0,2,False,True,0.5,0.56,3.45,3.62,5.79,6.2,1615134600
Tottenham,Crystal Palace,4,1,True,False,0.54,0.56,3.18,3.33,5.68,6.32,1615144500
Chelsea,Everton,2,0,True,False,0.62,0.69,2.92,3.01,5.06,5.7,1615226400
West Ham,Leeds,2,0,True,False,1.25,1.31,2.61,2.96,2.16,2.33,1615233600
Manchester City,Southampton,5,2,True,False,0.18,0.2,6.4,7.39,16.0,18.0,1615399200
Newcastle,Aston Villa,1,1,False,False,2.7,2.93,2.37,2.42,1.12,1.2,1615579200
